gRNA	gene	S1	S2	S3
ABCC11_+_48281428.23-P2|ABCC11_+_48281345.23-P2	ABCC11	   nan	   nan	   nan
ABCC11_-_48278125.23-P1|ABCC11_+_48278130.23-P1	ABCC11	   nan	   nan	   nan
ABCC12_-_48180643.23-ENST00000311303.3|ABCC12_-_48180648.23-ENST00000311303.3	ABCC12	   nan	   nan	   nan
ABCC1_+_16043647.23-P1P2|ABCC1_+_16043482.23-P1P2	ABCC1	   nan	   nan	   nan
ABCC2_+_101542981.23-P1P2|ABCC2_-_101542705.23-P1P2	ABCC2	   nan	   nan	   nan
ABCC3_+_48712270.23-P1P2|ABCC3_+_48712248.23-P1P2	ABCC3	   nan	   nan	   nan
ABCC4_+_95953430.23-P1P2|ABCC4_+_95953641.23-P1P2	ABCC4	   nan	   nan	   nan
ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2	ABCC5	   nan	   nan	   nan
ABCC6_-_16317247.23-ENST00000205557.7|ABCC6_-_16317344.23-ENST00000205557.7	ABCC6	   nan	   nan	   nan
ABCC8_+_17498387.23-P1P2|ABCC8_+_17498394.23-P1P2	ABCC8	   nan	   nan	   nan
ABCC9_+_22094309.23-P1P2|ABCC9_+_22094148.23-P1P2	ABCC9	   nan	   nan	   nan
ABCD1_-_152990338.23-P1P2|ABCD1_-_152990342.23-P1P2	ABCD1	   nan	   nan	   nan
ABCD2_+_40013594.23-P1P2|ABCD2_-_40013610.23-P1P2	ABCD2	   nan	   nan	   nan
ABCD3_+_94884002.23-P1P2|ABCD3_+_94884032.23-P1P2	ABCD3	   nan	   nan	   nan
ABCD4_+_74769611.23-P1P2|ABCD4_-_74769729.23-P1P2	ABCD4	   nan	   nan	   nan
ABCE1_-_146019502.23-P1P2|ABCE1_-_146019516.23-P1P2	ABCE1	   nan	   nan	   nan
ABCF1_+_30539238.23-P1|ABCF1_+_30539469.23-P1	ABCF1	   nan	   nan	   nan
