gRNA	gene	S1	S2	S3
CENPK_+_64858943.23-P1P2|CENPK_+_64858912.23-P1P2	CENPK	   nan	   nan	   nan
CENPL_-_173793832.23-P1P2|CENPL_-_173793815.23-P1P2	CENPL	   nan	   nan	   nan
CENPM_+_42342939.23-P1P2|CENPM_+_42343097.23-P1P2	CENPM	   nan	   nan	   nan
CENPN_-_81040819.23-P1P2|CENPN_-_81040900.23-P1P2	CENPN	   nan	   nan	   nan
CENPO_-_25016383.23-P1P2|CENPO_-_25016322.23-P1P2	CENPO	   nan	   nan	   nan
CENPP_+_95087933.23-P1P2|CENPP_-_95088235.23-P1P2	CENPP	   nan	   nan	   nan
CENPQ_-_49431166.23-P1P2|CENPQ_-_49431147.23-P1P2	CENPQ	   nan	   nan	   nan
CENPT_-_67867769.23-P1P2|CENPT_+_67867777.23-P1P2	CENPT	   nan	   nan	   nan
CENPV_+_16256735.23-P1P2|CENPV_-_16256724.23-P1P2	CENPV	   nan	   nan	   nan
CENPW_+_126661305.23-P1P2|CENPW_-_126661477.23-P1P2	CENPW	   nan	   nan	   nan
CEP104_+_3773724.23-P1P2|CEP104_+_3773746.23-P1P2	CEP104	   nan	   nan	   nan
CEP112_+_64188173.23-P1P2|CEP112_-_64187934.23-P1P2	CEP112	   nan	   nan	   nan
CEP120_+_122759030.23-P1P2|CEP120_+_122759179.23-P1P2	CEP120	   nan	   nan	   nan
CEP128_+_81408038.23-P1P2|CEP128_-_81408010.23-P1P2	CEP128	   nan	   nan	   nan
CEP135_+_56815222.23-P1P2|CEP135_+_56815279.23-P1P2	CEP135	   nan	   nan	   nan
CEP152_+_49103224.23-P1P2|CEP152_+_49103178.23-P1P2	CEP152	   nan	   nan	   nan
CEP164_-_117199076.23-P1P2|CEP164_-_117198944.23-P1P2	CEP164	   nan	   nan	   nan
CEP170B_-_105331614.23-P1P2|CEP170B_-_105331706.23-P1P2	CEP170B	   nan	   nan	   nan
CEP170_+_243418444.23-P1P2|CEP170_+_243418462.23-P1P2	CEP170	   nan	   nan	   nan
CEP192_+_12991384.23-P1P2|CEP192_+_12991736.23-P1P2	CEP192	   nan	   nan	   nan
CEP19_-_196439087.23-P1P2|CEP19_-_196439081.23-P1P2	CEP19	   nan	   nan	   nan
CEP250_-_34043022.23-P1P2|CEP250_+_34043032.23-P1P2	CEP250	   nan	   nan	   nan
CEP290_-_88535817.23-P1P2|CEP290_-_88535823.23-P1P2	CEP290	   nan	   nan	   nan
CEP350_+_179923934.23-P1P2|CEP350_+_179923931.23-P1P2	CEP350	   nan	   nan	   nan
CEP41_+_130080710.23-P1P2|CEP41_+_130080822.23-P1P2	CEP41	   nan	   nan	   nan
CEP44_-_175205101.23-P1P2|CEP44_-_175205104.23-P1P2	CEP44	   nan	   nan	   nan
CEP55_+_95256387.23-P1P2|CEP55_-_95256377.23-P1P2	CEP55	   nan	   nan	   nan
CEP57L1_+_109416705.23-P1P2|CEP57L1_+_109416692.23-P1P2	CEP57L1	   nan	   nan	   nan
CEP57_+_95523690.23-P1P2|CEP57_-_95523689.23-P1P2	CEP57	   nan	   nan	   nan
CEP63_-_134204996.23-P1P2|CEP63_-_134204569.23-P1P2	CEP63	   nan	   nan	   nan
CEP68_-_65283588.23-P1P2|CEP68_-_65283603.23-P1P2	CEP68	   nan	   nan	   nan
CEP70_+_138313038.23-P1P2|CEP70_+_138313031.23-P1P2	CEP70	   nan	   nan	   nan
CEP72_-_612462.23-P1P2|CEP72_-_612479.23-P1P2	CEP72	   nan	   nan	   nan
CEP76_-_12702683.23-P1P2|CEP76_-_12702630.23-P1P2	CEP76	   nan	   nan	   nan
CEP78_-_80851026.23-P1P2|CEP78_+_80851030.23-P1P2	CEP78	   nan	   nan	   nan
CEP85L_-_118972703.23-P1P2|CEP85L_-_118972539.23-P1P2	CEP85L	   nan	   nan	   nan
CEP85_-_26560720.23-P1P2|CEP85_-_26560748.23-P1P2	CEP85	   nan	   nan	   nan
CEP89_-_33462806.23-P1P2|CEP89_+_33462809.23-P1P2	CEP89	   nan	   nan	   nan
CEP95_+_62503124.23-P1P2|CEP95_-_62503136.23-P1P2	CEP95	   nan	   nan	   nan
CEP97_+_101443780.23-P1P2|CEP97_-_101443523.23-P1P2	CEP97	   nan	   nan	   nan
CEPT1_-_111683235.23-P1P2|CEPT1_-_111682881.23-P1P2	CEPT1	   nan	   nan	   nan
CER1_-_14722720.23-P1P2|CER1_-_14722679.23-P1P2	CER1	   nan	   nan	   nan
CERCAM_-_131183129.23-P1P2|CERCAM_+_131183139.23-P1P2	CERCAM	   nan	   nan	   nan
CERKL_+_182521806.23-P1|CERKL_+_182521818.23-P1	CERKL	   nan	   nan	   nan
CERKL_-_182545320.23-P2|CERKL_+_182545306.23-P2	CERKL	   nan	   nan	   nan
CERK_+_47134030.23-P1P2|CERK_-_47134133.23-P1P2	CERK	   nan	   nan	   nan
CERS2_+_150947302.23-P1P2|CERS2_+_150947129.23-P1P2	CERS2	   nan	   nan	   nan
CERS3_+_101068902.23-P1P2|CERS3_+_101069081.23-P1P2	CERS3	   nan	   nan	   nan
CERS4_-_8274277.23-P1P2|CERS4_-_8274428.23-P1P2	CERS4	   nan	   nan	   nan
CERS5_+_50561104.23-P1P2|CERS5_-_50561138.23-P1P2	CERS5	   nan	   nan	   nan
CERS6_-_169312784.23-P1P2|CERS6_-_169312772.23-P1P2	CERS6	   nan	   nan	   nan
CES1_-_55866971.23-P1P2|CES1_-_55866975.23-P1P2	CES1	   nan	   nan	   nan
CES2_-_66968754.23-P1|CES2_-_66968458.23-P1	CES2	   nan	   nan	   nan
CES2_-_66969477.23-P2|CES2_-_66969510.23-P2	CES2	   nan	   nan	   nan
CES3_-_66995213.23-P1P2|CES3_-_66995369.23-P1P2	CES3	   nan	   nan	   nan
CES4A_+_67034469.23-P1P2|CES4A_+_67034520.23-P1P2	CES4A	   nan	   nan	   nan
CES5A_-_55908848.23-P1P2|CES5A_-_55909197.23-P1P2	CES5A	   nan	   nan	   nan
CETN1_+_580377.23-P1P2|CETN1_-_580394.23-P1P2	CETN1	   nan	   nan	   nan
CETN2_+_151999266.23-P1|CETN2_+_151999272.23-P1	CETN2	   nan	   nan	   nan
CETN2_-_151998124.23-P2|CETN2_-_151998167.23-P2	CETN2	   nan	   nan	   nan
CETN3_+_89705523.23-P1P2|CETN3_-_89705533.23-P1P2	CETN3	   nan	   nan	   nan
CETP_+_56995913.23-P1P2|CETP_+_56996058.23-P1P2	CETP	   nan	   nan	   nan
CFB_-_31913896.23-P1P2|CFB_-_31913890.23-P1P2	CFB	   nan	   nan	   nan
CFC1_-_131357074.23-ENST00000259216.4|CFC1_+_131357115.23-ENST00000259216.4	CFC1	   nan	   nan	   nan
CFDP1_+_75467325.23-P1|CFDP1_-_75467319.23-P1	CFDP1	   nan	   nan	   nan
CFDP1_-_75448185.23-P2|CFDP1_-_75448478.23-P2	CFDP1	   nan	   nan	   nan
CFD_-_859613.23-P1P2|CFD_+_859428.23-P1P2	CFD	   nan	   nan	   nan
CFHR1_+_196794675.23-P1P2|CFHR1_+_196794948.23-P1P2	CFHR1	   nan	   nan	   nan
CFHR2_+_196788931.23-ENST00000367421.3|CFHR2_+_196788928.23-ENST00000367421.3	CFHR2	   nan	   nan	   nan
CFHR3_-_196744442.23-P1P2|CFHR3_+_196743893.23-P1P2	CFHR3	   nan	   nan	   nan
CFHR4_-_196857437.23-P1P2|CFHR4_+_196857654.23-P1P2	CFHR4	   nan	   nan	   nan
CFHR5_+_196946748.23-P1P2|CFHR5_+_196947048.23-P1P2	CFHR5	   nan	   nan	   nan
CFH_-_196621196.23-P1P2|CFH_-_196621219.23-P1P2	CFH	   nan	   nan	   nan
CFI_-_110723143.23-P1P2|CFI_-_110723131.23-P1P2	CFI	   nan	   nan	   nan
CFL1_+_65625628.23-P1P2|CFL1_-_65625654.23-P1P2	CFL1	   nan	   nan	   nan
CFL2_+_35183742.23-P1P2|CFL2_+_35183750.23-P1P2	CFL2	   nan	   nan	   nan
CFLAR_-_201980968.23-P1|CFLAR_+_201981338.23-P1	CFLAR	   nan	   nan	   nan
CFLAR_-_201983442.23-P2|CFLAR_-_201983436.23-P2	CFLAR	   nan	   nan	   nan
CFP_+_47489269.23-P1P2|CFP_-_47489280.23-P1P2	CFP	   nan	   nan	   nan
CFTR_-_117120156.23-P1P2|CFTR_+_117120108.23-P1P2	CFTR	   nan	   nan	   nan
CGA_-_87797940.23-P2|CGA_+_87797914.23-P2	CGA	   nan	   nan	   nan
CGA_-_87804776.23-P1|CGA_-_87804787.23-P1	CGA	   nan	   nan	   nan
CGB1_-_49539947.23-P1P2|CGB1_-_49539613.23-P1P2	CGB1	   nan	   nan	   nan
CGB2_-_49535595.23-ENST00000359342.6|CGB2_-_49535669.23-ENST00000359342.6	CGB2	   nan	   nan	   nan
CGB5_+_49547102.23-P1P2|CGB5_+_49547377.23-P1P2	CGB5	   nan	   nan	   nan
CGB7_+_49560958.23-P2|CGB7_+_49560797.23-P2	CGB7	   nan	   nan	   nan
CGB7_-_49568212.23-P1|CGB7_+_49568260.23-P1	CGB7	   nan	   nan	   nan
CGB8_+_49559428.23-P2|CGB8_-_49559458.23-P2	CGB8	   nan	   nan	   nan
CGGBP1_+_88108091.23-P1|CGGBP1_-_88108111.23-P1	CGGBP1	   nan	   nan	   nan
CGGBP1_-_88198986.23-P2|CGGBP1_-_88199023.23-P2	CGGBP1	   nan	   nan	   nan
CGNL1_-_57668784.23-P1P2|CGNL1_-_57668688.23-P1P2	CGNL1	   nan	   nan	   nan
CGN_-_151483884.23-P1P2|CGN_-_151483991.23-P1P2	CGN	   nan	   nan	   nan
CGREF1_-_27341550.23-P1P2|CGREF1_+_27341916.23-P1P2	CGREF1	   nan	   nan	   nan
CGRRF1_-_54976680.23-P1P2|CGRRF1_+_54976650.23-P1P2	CGRRF1	   nan	   nan	   nan
CH25H_-_90966985.23-P1P2|CH25H_-_90967024.23-P1P2	CH25H	   nan	   nan	   nan
CHAC1_+_41245708.23-P1P2|CHAC1_-_41245662.23-P1P2	CHAC1	   nan	   nan	   nan
CHAC2_-_53995004.23-P1P2|CHAC2_-_53995029.23-P1P2	CHAC2	   nan	   nan	   nan
CHADL_+_41636876.23-P1P2|CHADL_+_41636468.23-P1P2	CHADL	   nan	   nan	   nan
CHAD_+_48546256.23-P1P2|CHAD_-_48546190.23-P1P2	CHAD	   nan	   nan	   nan
CHAF1A_-_4402710.23-P1P2|CHAF1A_+_4402728.23-P1P2	CHAF1A	   nan	   nan	   nan
CHAF1B_+_37757745.23-P1P2|CHAF1B_+_37757724.23-P1P2	CHAF1B	   nan	   nan	   nan
CHAMP1_+_115080003.23-P1P2|CHAMP1_-_115079993.23-P1P2	CHAMP1	   nan	   nan	   nan
CHAT_-_50821200.23-P2|CHAT_-_50821206.23-P2	CHAT	   nan	   nan	   nan
CHAT_-_50822499.23-P1|CHAT_-_50822477.23-P1	CHAT	   nan	   nan	   nan
CHCHD10_-_24110097.23-P1P2|CHCHD10_-_24109711.23-P1P2	CHCHD10	   nan	   nan	   nan
CHCHD1_-_75541863.23-P1P2|CHCHD1_-_75541853.23-P1P2	CHCHD1	   nan	   nan	   nan
CHCHD2_-_56174016.23-P1P2|CHCHD2_+_56174001.23-P1P2	CHCHD2	   nan	   nan	   nan
CHCHD3_-_132766538.23-P1P2|CHCHD3_+_132766615.23-P1P2	CHCHD3	   nan	   nan	   nan
CHCHD4_+_14166228.23-P1P2|CHCHD4_-_14166123.23-P1P2	CHCHD4	   nan	   nan	   nan
CHCHD5_-_113342216.23-P1P2|CHCHD5_+_113342246.23-P1P2	CHCHD5	   nan	   nan	   nan
CHCHD6_+_126423111.23-P1P2|CHCHD6_-_126423127.23-P1P2	CHCHD6	   nan	   nan	   nan
CHCHD7_+_57124412.23-P1P2|CHCHD7_+_57124406.23-P1P2	CHCHD7	   nan	   nan	   nan
CHD1L_-_146714409.23-P1P2|CHD1L_-_146714437.23-P1P2	CHD1L	   nan	   nan	   nan
CHD1_-_98262220.23-P1P2|CHD1_+_98262226.23-P1P2	CHD1	   nan	   nan	   nan
CHD2_+_93443780.23-P1|CHD2_+_93443587.23-P1	CHD2	   nan	   nan	   nan
CHD2_-_93426037.23-P2|CHD2_-_93426311.23-P2	CHD2	   nan	   nan	   nan
CHD3_-_7788142.23-P1P2|CHD3_-_7788148.23-P1P2	CHD3	   nan	   nan	   nan
CHD4_+_6716555.23-P1P2|CHD4_-_6716063.23-P1P2	CHD4	   nan	   nan	   nan
CHD5_-_6240354.23-P1P2|CHD5_+_6240253.23-P1P2	CHD5	   nan	   nan	   nan
CHD6_+_40246867.23-P1P2|CHD6_+_40246582.23-P1P2	CHD6	   nan	   nan	   nan
CHD7_-_61591641.23-P1P2|CHD7_-_61591622.23-P1P2	CHD7	   nan	   nan	   nan
CHD8_+_21924200.23-P1|CHD8_+_21924236.23-P1	CHD8	   nan	   nan	   nan
CHD8_-_21905342.23-P2|CHD8_+_21905409.23-P2	CHD8	   nan	   nan	   nan
CHD9_-_53088911.23-P1|CHD9_+_53089063.23-P1	CHD9	   nan	   nan	   nan
CHD9_-_53165040.23-P2|CHD9_-_53164953.23-P2	CHD9	   nan	   nan	   nan
CHDC2_+_36065108.23-ENST00000313548.4|CHDC2_-_36065356.23-ENST00000313548.4	CHDC2	   nan	   nan	   nan
CHDH_+_53880418.23-P1P2|CHDH_+_53880423.23-P1P2	CHDH	   nan	   nan	   nan
CHEK1_-_125495912.23-P1P2|CHEK1_-_125495934.23-P1P2	CHEK1	   nan	   nan	   nan
CHEK2_-_29138399.23-P1P2|CHEK2_+_29138256.23-P1P2	CHEK2	   nan	   nan	   nan
CHERP_+_16653219.23-P1P2|CHERP_-_16653216.23-P1P2	CHERP	   nan	   nan	   nan
CHFR_+_133464165.23-P1P2|CHFR_-_133463971.23-P1P2	CHFR	   nan	   nan	   nan
CHGA_-_93389660.23-P1P2|CHGA_-_93389474.23-P1P2	CHGA	   nan	   nan	   nan
CHGB_-_5892174.23-P1P2|CHGB_+_5892210.23-P1P2	CHGB	   nan	   nan	   nan
CHI3L1_+_203155817.23-P1P2|CHI3L1_+_203155795.23-P1P2	CHI3L1	   nan	   nan	   nan
CHI3L2_+_111772407.23-P2|CHI3L2_+_111772456.23-P2	CHI3L2	   nan	   nan	   nan
CHI3L2_-_111770387.23-P1|CHI3L2_-_111770369.23-P1	CHI3L2	   nan	   nan	   nan
CHIA_+_111833487.23-P1P2|CHIA_-_111833513.23-P1P2	CHIA	   nan	   nan	   nan
CHIC1_-_72783147.23-P1P2|CHIC1_-_72783144.23-P1P2	CHIC1	   nan	   nan	   nan
CHIC2_-_54930631.23-P1P2|CHIC2_+_54930582.23-P1P2	CHIC2	   nan	   nan	   nan
CHID1_+_910758.23-P1P2|CHID1_+_910583.23-P1P2	CHID1	   nan	   nan	   nan
CHIT1_-_203198778.23-P1P2|CHIT1_-_203198733.23-P1P2	CHIT1	   nan	   nan	   nan
CHKA_+_67888862.23-P1P2|CHKA_+_67888859.23-P1P2	CHKA	   nan	   nan	   nan
CHKB_+_51020783.23-P1P2|CHKB_-_51020899.23-P1P2	CHKB	   nan	   nan	   nan
CHL1_-_238506.23-P1P2|CHL1_-_238494.23-P1P2	CHL1	   nan	   nan	   nan
CHML_-_241798679.23-P1P2|CHML_-_241798639.23-P1P2	CHML	   nan	   nan	   nan
CHMP1A_+_89723672.23-P1P2|CHMP1A_-_89724068.23-P1P2	CHMP1A	   nan	   nan	   nan
CHMP1B_+_11851450.23-P1P2|CHMP1B_+_11851459.23-P1P2	CHMP1B	   nan	   nan	   nan
CHMP2A_-_59066282.23-P1P2|CHMP2A_+_59066434.23-P1P2	CHMP2A	   nan	   nan	   nan
CHMP2B_-_87276729.23-P1P2|CHMP2B_-_87276632.23-P1P2	CHMP2B	   nan	   nan	   nan
CHMP3_-_86790522.23-P1P2|CHMP3_-_86790451.23-P1P2	CHMP3	   nan	   nan	   nan
CHMP4A_+_24682667.23-P1|CHMP4A_+_24682603.23-P1	CHMP4A	   nan	   nan	   nan
CHMP4B_-_32399280.23-P1P2|CHMP4B_-_32399446.23-P1P2	CHMP4B	   nan	   nan	   nan
CHMP4C_+_82644748.23-P1P2|CHMP4C_+_82644753.23-P1P2	CHMP4C	   nan	   nan	   nan
CHMP5_+_33265229.23-P1P2|CHMP5_-_33265093.23-P1P2	CHMP5	   nan	   nan	   nan
CHMP6_-_78965692.23-P1P2|CHMP6_+_78965716.23-P1P2	CHMP6	   nan	   nan	   nan
CHMP7_-_23104167.23-P1P2|CHMP7_-_23104196.23-P1P2	CHMP7	   nan	   nan	   nan
CHM_+_85302319.23-P1P2|CHM_+_85302314.23-P1P2	CHM	   nan	   nan	   nan
CHN1_+_175870104.23-ENST00000409900.3|CHN1_+_175870039.23-ENST00000409900.3	CHN1	   nan	   nan	   nan
CHN2_-_29186250.23-P2|CHN2_-_29186314.23-P2	CHN2	   nan	   nan	   nan
CHN2_-_29234422.23-P1|CHN2_-_29234419.23-P1	CHN2	   nan	   nan	   nan
CHODL_+_19617188.23-P1P2|CHODL_-_19617182.23-P1P2	CHODL	   nan	   nan	   nan
CHORDC1_-_89955982.23-P1P2|CHORDC1_-_89955894.23-P1P2	CHORDC1	   nan	   nan	   nan
CHP1_+_41523450.23-P1P2|CHP1_-_41523705.23-P1P2	CHP1	   nan	   nan	   nan
CHP2_+_23766392.23-P1P2|CHP2_+_23766353.23-P1P2	CHP2	   nan	   nan	   nan
CHPF2_-_150929634.23-P1P2|CHPF2_-_150929643.23-P1P2	CHPF2	   nan	   nan	   nan
CHPF_-_220408283.23-P1P2|CHPF_+_220408264.23-P1P2	CHPF	   nan	   nan	   nan
CHPT1_+_102091502.23-P1P2|CHPT1_+_102091488.23-P1P2	CHPT1	   nan	   nan	   nan
CHRAC1_+_141521475.23-P1P2|CHRAC1_-_141521629.23-P1P2	CHRAC1	   nan	   nan	   nan
CHRDL1_-_110039026.23-P1P2|CHRDL1_+_110039019.23-P1P2	CHRDL1	   nan	   nan	   nan
CHRDL2_-_74442417.23-P1P2|CHRDL2_-_74442472.23-P1P2	CHRDL2	   nan	   nan	   nan
CHRD_+_184098084.23-P1P2|CHRD_-_184098324.23-P1P2	CHRD	   nan	   nan	   nan
CHRM1_+_62688793.23-P1P2|CHRM1_+_62688777.23-P1P2	CHRM1	   nan	   nan	   nan
CHRM2_+_136553913.23-P1P2|CHRM2_-_136553479.23-P1P2	CHRM2	   nan	   nan	   nan
CHRM4_+_46408115.23-P1P2|CHRM4_+_46408103.23-P1P2	CHRM4	   nan	   nan	   nan
CHRM5_+_34261347.23-P1P2|CHRM5_+_34260717.23-P1P2	CHRM5	   nan	   nan	   nan
CHRNA10_-_3692566.23-ENST00000250699.2|CHRNA10_-_3692605.23-ENST00000250699.2	CHRNA10	   nan	   nan	   nan
CHRNA1_-_175629149.23-P1P2|CHRNA1_-_175629142.23-P1P2	CHRNA1	   nan	   nan	   nan
CHRNA2_-_27336701.23-P1P2|CHRNA2_-_27336543.23-P1P2	CHRNA2	   nan	   nan	   nan
CHRNA3_-_78913435.23-P1P2|CHRNA3_+_78913301.23-P1P2	CHRNA3	   nan	   nan	   nan
CHRNA4_+_61992566.23-P1P2|CHRNA4_-_61992667.23-P1P2	CHRNA4	   nan	   nan	   nan
CHRNA5_+_78857951.23-P1P2|CHRNA5_-_78857911.23-P1P2	CHRNA5	   nan	   nan	   nan
CHRNA6_-_42623769.23-P1P2|CHRNA6_-_42623756.23-P1P2	CHRNA6	   nan	   nan	   nan
CHRNA7_+_32322752.23-P1P2|CHRNA7_-_32322710.23-P1P2	CHRNA7	   nan	   nan	   nan
CHRNA9_-_40337393.23-P1P2|CHRNA9_+_40337357.23-P1P2	CHRNA9	   nan	   nan	   nan
CHRNB1_-_7348525.23-P1P2|CHRNB1_-_7348808.23-P1P2	CHRNB1	   nan	   nan	   nan
CHRNB2_-_154540333.23-P1P2|CHRNB2_-_154540371.23-P1P2	CHRNB2	   nan	   nan	   nan
CHRNB3_+_42552570.23-P1P2|CHRNB3_-_42552534.23-P1P2	CHRNB3	   nan	   nan	   nan
CHRNB4_+_78933567.23-P1P2|CHRNB4_+_78933497.23-P1P2	CHRNB4	   nan	   nan	   nan
CHRND_-_233390895.23-P1P2|CHRND_+_233390962.23-P1P2	CHRND	   nan	   nan	   nan
CHRNE_-_4806328.23-P1P2|CHRNE_+_4806299.23-P1P2	CHRNE	   nan	   nan	   nan
CHRNG_-_233404465.23-P1P2|CHRNG_-_233404525.23-P1P2	CHRNG	   nan	   nan	   nan
CHST10_-_101034015.23-P1P2|CHST10_+_101033834.23-P1P2	CHST10	   nan	   nan	   nan
CHST11_-_104850808.23-P1P2|CHST11_+_104850801.23-P1P2	CHST11	   nan	   nan	   nan
CHST12_+_2443228.23-P1P2|CHST12_-_2443194.23-P1P2	CHST12	   nan	   nan	   nan
CHST13_+_126243212.23-P1P2|CHST13_+_126243000.23-P1P2	CHST13	   nan	   nan	   nan
CHST14_+_40763266.23-P1P2|CHST14_+_40763251.23-P1P2	CHST14	   nan	   nan	   nan
CHST15_+_125851900.23-P1|CHST15_+_125851870.23-P1	CHST15	   nan	   nan	   nan
CHST15_-_125853073.23-P2|CHST15_+_125853046.23-P2	CHST15	   nan	   nan	   nan
CHST1_+_45687103.23-P1P2|CHST1_-_45687177.23-P1P2	CHST1	   nan	   nan	   nan
CHST2_-_142838680.23-P1P2|CHST2_-_142838662.23-P1P2	CHST2	   nan	   nan	   nan
CHST3_-_73724204.23-P1P2|CHST3_+_73724241.23-P1P2	CHST3	   nan	   nan	   nan
CHST4_-_71560381.23-P1P2|CHST4_+_71560363.23-P1P2	CHST4	   nan	   nan	   nan
CHST5_-_75569003.23-P1P2|CHST5_+_75568970.23-P1P2	CHST5	   nan	   nan	   nan
CHST6_-_75529308.23-P1P2|CHST6_-_75529340.23-P1P2	CHST6	   nan	   nan	   nan
CHST7_+_46433225.23-P1P2|CHST7_-_46433274.23-P1P2	CHST7	   nan	   nan	   nan
CHST8_-_34112913.23-P1P2|CHST8_-_34112910.23-P1P2	CHST8	   nan	   nan	   nan
CHST9_-_24765224.23-P1P2|CHST9_-_24765211.23-P1P2	CHST9	   nan	   nan	   nan
CHSY1_+_101792082.23-P1P2|CHSY1_+_101792150.23-P1P2	CHSY1	   nan	   nan	   nan
CHSY3_+_129240267.23-P1P2|CHSY3_+_129240287.23-P1P2	CHSY3	   nan	   nan	   nan
CHTF18_-_838671.23-P1P2|CHTF18_-_838687.23-P1P2	CHTF18	   nan	   nan	   nan
CHTF8_+_69166252.23-P1P2|CHTF8_-_69166513.23-P1P2	CHTF8	   nan	   nan	   nan
CHTOP_-_153606538.23-P1P2|CHTOP_-_153606547.23-P1P2	CHTOP	   nan	   nan	   nan
CHUK_-_101989295.23-P1P2|CHUK_-_101989292.23-P1P2	CHUK	   nan	   nan	   nan
CHURC1-FNTB_-_65381231.23-P1P2|CHURC1-FNTB_+_65381194.23-P1P2	CHURC1-FNTB	   nan	   nan	   nan
CIAO1_-_96932005.23-P1P2|CIAO1_+_96932066.23-P1P2	CIAO1	   nan	   nan	   nan
CIAPIN1_+_57481238.23-P1P2|CIAPIN1_+_57481287.23-P1P2	CIAPIN1	   nan	   nan	   nan
CIB1_+_90777177.23-P1P2|CIB1_-_90777091.23-P1P2	CIB1	   nan	   nan	   nan
CIB2_-_78423718.23-P1P2|CIB2_-_78423715.23-P1P2	CIB2	   nan	   nan	   nan
CIB3_-_16284326.23-ENST00000269878.4|CIB3_+_16284300.23-ENST00000269878.4	CIB3	   nan	   nan	   nan
CIB4_+_26864192.23-P1P2|CIB4_+_26864187.23-P1P2	CIB4	   nan	   nan	   nan
CIC_-_42788145.23-P1P2|CIC_-_42788700.23-P1P2	CIC	   nan	   nan	   nan
CIDEA_+_12254410.23-P1P2|CIDEA_-_12254372.23-P1P2	CIDEA	   nan	   nan	   nan
CIDEB_+_24780564.23-P2|CIDEB_+_24780552.23-P2	CIDEB	   nan	   nan	   nan
CIDEB_-_24777068.23-P1|CIDEB_-_24777089.23-P1	CIDEB	   nan	   nan	   nan
CIDEC_+_9920298.23-P2|CIDEC_+_9920398.23-P2	CIDEC	   nan	   nan	   nan
CIDEC_+_9921901.23-P1|CIDEC_+_9921923.23-P1	CIDEC	   nan	   nan	   nan
CIITA_-_10971109.23-P1P2|CIITA_-_10971119.23-P1P2	CIITA	   nan	   nan	   nan
CILP2_+_19649135.23-P1P2|CILP2_+_19649150.23-P1P2	CILP2	   nan	   nan	   nan
CILP_+_65503764.23-P1P2|CILP_-_65503726.23-P1P2	CILP	   nan	   nan	   nan
CINP_+_102829193.23-P1P2|CINP_-_102829164.23-P1P2	CINP	   nan	   nan	   nan
CIR1_+_175260410.23-P1P2|CIR1_-_175260188.23-P1P2	CIR1	   nan	   nan	   nan
CIRBP_-_1269409.23-P1P2|CIRBP_+_1269397.23-P1P2	CIRBP	   nan	   nan	   nan
CIRH1A_-_69166574.23-P1P2|CIRH1A_-_69166585.23-P1P2	CIRH1A	   nan	   nan	   nan
CISD1_+_60028958.23-P1P2|CISD1_+_60028949.23-P1P2	CISD1	   nan	   nan	   nan
CISD2_-_103790209.23-P1P2|CISD2_-_103790203.23-P1P2	CISD2	   nan	   nan	   nan
CISD3_+_36886654.23-P1P2|CISD3_-_36887109.23-P1P2	CISD3	   nan	   nan	   nan
CISH_-_50649150.23-P1P2|CISH_-_50649210.23-P1P2	CISH	   nan	   nan	   nan
CITED1_+_71525739.23-P1|CITED1_+_71525704.23-P1	CITED1	   nan	   nan	   nan
CITED1_-_71526957.23-P2|CITED1_-_71526985.23-P2	CITED1	   nan	   nan	   nan
CITED2_+_139695726.23-P1P2|CITED2_+_139695737.23-P1P2	CITED2	   nan	   nan	   nan
CITED4_+_41327960.23-P1P2|CITED4_-_41327994.23-P1P2	CITED4	   nan	   nan	   nan
CIT_-_120314748.23-P1P2|CIT_+_120315103.23-P1P2	CIT	   nan	   nan	   nan
CIZ1_+_130953818.23-P1P2|CIZ1_+_130953813.23-P1P2	CIZ1	   nan	   nan	   nan
CKAP2L_-_113522146.23-P1P2|CKAP2L_-_113522165.23-P1P2	CKAP2L	   nan	   nan	   nan
CKAP2_-_53029622.23-P1P2|CKAP2_+_53030125.23-P1P2	CKAP2	   nan	   nan	   nan
CKAP4_-_106641705.23-P1P2|CKAP4_-_106641721.23-P1P2	CKAP4	   nan	   nan	   nan
CKAP5_+_46867805.23-P1|CKAP5_-_46867793.23-P1	CKAP5	   nan	   nan	   nan
CKAP5_-_46848384.23-P2|CKAP5_-_46848381.23-P2	CKAP5	   nan	   nan	   nan
CKB_+_103989134.23-P1P2|CKB_+_103989130.23-P1P2	CKB	   nan	   nan	   nan
CKLF_-_66586509.23-P1P2|CKLF_-_66586564.23-P1P2	CKLF	   nan	   nan	   nan
CKMT1A_-_43985782.23-ENST00000413453.2|CKMT1A_-_43985741.23-ENST00000413453.2	CKMT1A	   nan	   nan	   nan
CKMT1B_+_43886104.23-ENST00000441322.1|CKMT1B_+_43886076.23-ENST00000441322.1	CKMT1B	   nan	   nan	   nan
CKMT1B_-_43885323.23-ENST00000300283.6|CKMT1B_-_43885315.23-ENST00000300283.6	CKMT1B	   nan	   nan	   nan
CKMT2_-_80529200.23-P1P2|CKMT2_-_80529188.23-P1P2	CKMT2	   nan	   nan	   nan
CKM_+_45826065.23-P1|CKM_-_45826081.23-P1	CKM	   nan	   nan	   nan
CKM_-_45822996.23-P2|CKM_+_45822737.23-P2	CKM	   nan	   nan	   nan
CKS2_-_91926343.23-P1P2|CKS2_+_91925796.23-P1P2	CKS2	   nan	   nan	   nan
