sgrna	X1	X2
SCAF11_-_46384299.23-P1P2|SCAF11_+_46383965.23-P1P2	1.000000e+00	1.321264e+00
RBM4_-_66406629.23-P2|RBM4_+_66406241.23-P2	1.000000e+00	1.041388e+00
CCDC73_-_32816109.23-P1P2|CCDC73_+_32816149.23-P1P2	1.000000e+00	1.296541e+00
LRIF1_+_111506585.23-P1P2|LRIF1_-_111506521.23-P1P2	1.000000e+00	1.296322e+00
PPP1R37_-_45596486.23-P1P2|PPP1R37_-_45596434.23-P1P2	1.000000e+00	1.015643e+00
BRD9_+_892880.23-P1P2|BRD9_-_891721.23-P1P2	1.000000e+00	1.281334e+00
KHDRBS1_+_32479908.23-P1P2|KHDRBS1_+_32479521.23-P1P2	1.000000e+00	1.057718e+00
CDKN2AIP_+_184366219.23-P1P2|CDKN2AIP_-_184365844.23-P1P2	1.000000e+00	1.073718e+00
CTDSPL2_-_44719837.23-P1P2|CTDSPL2_+_44720020.23-P1P2	1.000000e+00	1.049095e+00
EIF5AL1_-_81272301.23-P1P2|EIF5AL1_-_81272298.23-P1P2	1.000000e+00	1.082747e+00
NAA25_+_112546552.23-P1P2|NAA25_-_112546549.23-P1P2	1.000000e+00	1.047380e+00
NAA15_-_140222716.23-P1P2|NAA15_-_140222868.23-P1P2	1.000000e+00	1.114324e+00
SDR16C5_-_57232321.23-P1P2|SDR16C5_+_57232679.23-P1P2	1.000000e+00	1.017954e+00
SREK1IP1_-_64064477.23-P1P2|SREK1IP1_+_64064264.23-P1P2	1.000000e+00	1.057990e+00
NUDT21_+_56485197.23-P1P2|NUDT21_-_56485228.23-P1P2	1.000000e+00	1.388059e+00
TAF3_-_7860714.23-P1P2|TAF3_-_7860540.23-P1P2	1.000000e+00	1.092515e+00
GUCY1B3_+_156680266.23-P1P2|GUCY1B3_+_156680192.23-P1P2	1.000000e+00	1.331490e+00
TRRAP_-_98476562.23-P1P2|TRRAP_-_98476572.23-P1P2	1.000000e+00	1.140431e+00
MRPS34_+_1823083.23-P1P2|MRPS34_-_1822906.23-P1P2	1.000000e+00	1.342092e+00
PRMT6_-_107599757.23-P1P2|PRMT6_-_107599711.23-P1P2	1.000000e+00	1.326469e+00
POM121L12_-_53103402.23-P1P2|POM121L12_-_53103367.23-P1P2	1.000000e+00	1.041167e+00
GYLTL1B_+_45944212.23-P1P2|GYLTL1B_+_45944227.23-P1P2	1.000000e+00	1.024982e+00
CUBN_-_17171723.23-P1P2|CUBN_+_17171371.23-P1P2	1.000000e+00	1.444494e+00
C6orf57_+_71276850.23-P1P2|C6orf57_+_71276647.23-P1P2	1.000000e+00	1.366454e+00
KDM3B_-_137688400.23-P1P2|KDM3B_-_137688434.23-P1P2	1.000000e+00	1.031833e+00
AMMECR1_+_109561105.23-P1P2|AMMECR1_+_109560923.23-P1P2	1.000000e+00	1.097683e+00
SEH1L_-_12948049.23-P1P2|SEH1L_-_12948044.23-P1P2	1.000000e+00	1.167885e+00
CASQ1_-_160160634.23-P1P2|CASQ1_+_160160439.23-P1P2	1.000000e+00	1.127094e+00
PCGF3_+_699662.23-P1P2|PCGF3_+_699822.23-P1P2	1.000000e+00	1.043043e+00
DHX9_+_182808499.23-P1P2|DHX9_+_182808482.23-P1P2	1.000000e+00	1.088566e+00
VEZT_-_95611616.23-P1P2|VEZT_-_95611619.23-P1P2	1.000000e+00	1.088007e+00
FAM174A_+_99871082.23-P1P2|FAM174A_+_99871107.23-P1P2	1.000000e+00	1.122188e+00
ADCY8_-_132053083.23-P1P2|ADCY8_-_132053093.23-P1P2	1.000000e+00	1.076140e+00
CSPP1_+_67976642.23-P1P2|CSPP1_+_67976664.23-P1P2	1.000000e+00	1.161977e+00
SUPT20H_-_37633730.23-P1P2|SUPT20H_+_37633798.23-P1P2	1.000000e+00	1.023472e+00
GCN1L1_+_120632476.23-P1P2|GCN1L1_+_120632452.23-P1P2	1.000000e+00	1.024252e+00
BCL2L2-PABPN1_+_23776232.23-P1P2|BCL2L2-PABPN1_-_23776094.23-P1P2	1.000000e+00	1.054559e+00
ADNP2_-_77867648.23-P1P2|ADNP2_-_77867365.23-P1P2	1.000000e+00	1.133683e+00
POLR2F_-_38349919.23-P1P2|POLR2F_-_38349783.23-P1P2	1.000000e+00	1.432398e+00
DENND6B_-_50765123.23-P1P2|DENND6B_-_50765421.23-P1P2	1.000000e+00	1.079912e+00
PHOX2A_+_71955165.23-P1P2|PHOX2A_-_71955151.23-P1P2	1.000000e+00	1.063506e+00
CUEDC1_-_56032755.23-P1P2|CUEDC1_-_56032670.23-P1P2	1.000000e+00	1.093693e+00
INSM1_-_20348778.23-P1P2|INSM1_+_20348784.23-P1P2	1.000000e+00	1.044599e+00
NANOS3_-_13987996.23-P1P2|NANOS3_-_13987949.23-P1P2	1.000000e+00	1.032061e+00
PRKAR2A_+_48885226.23-P1P2|PRKAR2A_+_48885249.23-P1P2	1.000000e+00	1.025963e+00
CETP_+_56995913.23-P1P2|CETP_+_56996058.23-P1P2	1.000000e+00	1.106936e+00
AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2	1.000000e+00	1.469266e+00
BANP_+_87985113.23-P1P2|BANP_+_87985096.23-P1P2	1.000000e+00	1.414600e+00
PFDN1_+_139682624.23-P1P2|PFDN1_-_139682650.23-P1P2	1.000000e+00	1.466679e+00
FOXO4_-_70315960.23-P1P2|FOXO4_-_70315884.23-P1P2	1.000000e+00	1.026754e+00
NEIL1_+_75639678.23-P1P2|NEIL1_-_75639455.23-P1P2	1.000000e+00	1.085358e+00
NAA20_-_19998023.23-P1P2|NAA20_-_19998029.23-P1P2	1.000000e+00	1.067585e+00
SPATA21_-_16763860.23-P1P2|SPATA21_+_16763659.23-P1P2	1.000000e+00	1.053220e+00
NGDN_-_23939097.23-P1P2|NGDN_+_23939122.23-P1P2	1.000000e+00	1.437259e+00
FDXACB1_-_111749656.23-P1P2|FDXACB1_-_111749851.23-P1P2	1.000000e+00	1.151201e+00
THAP11_+_67876226.23-P1P2|THAP11_-_67876223.23-P1P2	1.000000e+00	1.060390e+00
SAFB_-_5623124.23-P1P2|SAFB_-_5623172.23-P1P2	1.000000e+00	1.104236e+00
NDUFA5_-_123197695.23-P1P2|NDUFA5_+_123197681.23-P1P2	1.000000e+00	1.427000e+00
RPRD1B_-_36662169.23-P1P2|RPRD1B_-_36662193.23-P1P2	1.000000e+00	1.142229e+00
RAB20_-_111214028.23-P1P2|RAB20_+_111214000.23-P1P2	1.000000e+00	1.414785e+00
MAP3K4_-_161412865.23-P1P2|MAP3K4_-_161412868.23-P1P2	1.000000e+00	1.103338e+00
ZFYVE20_+_15140609.23-P1P2|ZFYVE20_+_15140629.23-P1P2	1.000000e+00	1.110907e+00
FAM20C_+_192647.23-P1P2|FAM20C_-_192603.23-P1P2	1.000000e+00	1.062965e+00
MED12_+_70338481.23-P1P2|MED12_+_70338552.23-P1P2	1.000000e+00	1.029934e+00
OSR1_+_19558355.23-P1P2|OSR1_+_19558317.23-P1P2	1.000000e+00	1.083487e+00
QARS_-_49142149.23-P1P2|QARS_-_49142355.23-P1P2	1.000000e+00	1.532466e+00
CDAN1_+_43029296.23-P1P2|CDAN1_-_43029292.23-P1P2	1.000000e+00	1.144218e+00
NSD1_-_176561189.23-P1P2|NSD1_-_176560797.23-P1P2	1.000000e+00	1.083873e+00
ESYT2_+_158621826.23-P1P2|ESYT2_-_158622205.23-P1P2	1.000000e+00	1.364319e+00
TBCA_+_77072022.23-P1P2|TBCA_-_77071772.23-P1P2	1.000000e+00	1.155601e+00
ACSM5_-_20421144.23-P1P2|ACSM5_-_20420881.23-P1P2	1.000000e+00	1.063483e+00
TAF8_-_42018330.23-P1P2|TAF8_+_42018316.23-P1P2	1.000000e+00	1.515295e+00
FAM115C_+_143318049.23-P1P2|FAM115C_+_143318054.23-P1P2	1.000000e+00	1.167238e+00
SCAMP5_+_75287915.23-P1P2|SCAMP5_+_75287944.23-P1P2	1.000000e+00	1.078962e+00
YWHAQ_+_9771085.23-P1P2|YWHAQ_-_9771061.23-P1P2	1.000000e+00	1.071842e+00
TRIM33_-_115053588.23-P1P2|TRIM33_-_115053795.23-P1P2	1.000000e+00	1.057823e+00
GLUL_+_182360471.23-P1P2|GLUL_+_182360879.23-P1P2	1.000000e+00	1.468406e+00
NFASC_+_204797798.23-P1P2|NFASC_-_204797854.23-P1P2	1.000000e+00	1.412631e+00
TADA1_-_166845036.23-P1P2|TADA1_+_166845487.23-P1P2	1.000000e+00	1.031667e+00
CLDND1_+_98241742.23-P1P2|CLDND1_+_98241545.23-P1P2	1.000000e+00	1.053597e+00
C9orf41_+_77642874.23-P1P2|C9orf41_+_77643145.23-P1P2	1.000000e+00	1.032969e+00
OCM2_-_97619310.23-ENST00000257627.4|OCM2_+_97619340.23-ENST00000257627.4	1.000000e+00	1.089357e+00
RICTOR_+_39074244.23-P1P2|RICTOR_-_39074440.23-P1P2	1.000000e+00	1.068357e+00
UBC_+_125399044.23-P1P2|UBC_-_125399182.23-P1P2	1.000000e+00	1.116630e+00
IRS2_+_110438914.23-P1P2|IRS2_+_110438487.23-P1P2	1.000000e+00	1.148115e+00
ZBTB18_-_244214605.23-P1P2|ZBTB18_-_244214602.23-P1P2	1.000000e+00	1.095876e+00
ARL2_-_64781781.23-P1P2|ARL2_+_64781852.23-P1P2	1.000000e+00	1.397470e+00
EXOSC3_+_37785000.23-P1P2|EXOSC3_+_37785037.23-P1P2	1.000000e+00	1.442689e+00
GADD45G_+_92219986.23-P1P2|GADD45G_-_92219943.23-P1P2	1.000000e+00	1.033667e+00
VIM_+_17271347.23-P1P2|VIM_+_17271338.23-P1P2	1.000000e+00	1.419045e+00
RASEF_+_85678032.23-P1P2|RASEF_-_85678007.23-P1P2	1.000000e+00	1.092534e+00
FAM101A_+_124780086.23-P1P2|FAM101A_+_124779849.23-P1P2	1.000000e+00	1.465576e+00
LYSMD2_+_52029815.23-P1P2|LYSMD2_-_52029821.23-P1P2	1.000000e+00	1.133201e+00
ITPKB_+_226925001.23-P1P2|ITPKB_+_226926980.23-P1P2	1.000000e+00	1.105143e+00
RIN3_-_92980151.23-P1P2|RIN3_+_92980206.23-P1P2	1.000000e+00	1.080575e+00
TBC1D20_+_443153.23-P1P2|TBC1D20_+_443133.23-P1P2	1.000000e+00	1.064564e+00
GNB1L_+_19842341.23-P1P2|GNB1L_-_19842322.23-P1P2	1.000000e+00	1.136966e+00
MED13_-_60142558.23-P1P2|MED13_+_60142607.23-P1P2	1.000000e+00	1.035211e+00
ANKRD17_+_74124528.23-P1P2|ANKRD17_+_74124315.23-P1P2	1.000000e+00	1.534532e+00
BLOC1S1_+_56109907.23-P1P2|BLOC1S1_+_56109849.23-P1P2	1.000000e+00	1.173155e+00
GTF2A2_+_59949667.23-P1P2|GTF2A2_+_59949653.23-P1P2	1.000000e+00	1.043877e+00
SENP5_-_196594805.23-P1P2|SENP5_-_196594794.23-P1P2	1.000000e+00	1.089522e+00
SPTBN4_-_40972178.23-ENST00000352632.3|SPTBN4_+_40972211.23-ENST00000352632.3	1.022580e-01	8.164132e-02
SPTBN4_-_40973158.23-ENST00000598249.1|SPTBN4_-_40972968.23-ENST00000598249.1	1.897742e+00	3.864415e+00
PIK3CA_+_178866166.23-P1P2|PIK3CA_+_178866554.23-P1P2	1.000000e+00	1.177161e+00
FOXK1_+_4722113.23-P1P2|FOXK1_-_4721964.23-P1P2	1.000000e+00	1.074642e+00
PRDM14_-_70983451.23-P1P2|PRDM14_-_70983469.23-P1P2	1.000000e+00	1.081526e+00
MLLT3_-_20622368.23-P1P2|MLLT3_-_20622379.23-P1P2	1.000000e+00	1.035987e+00
UBIAD1_-_11333318.23-P1P2|UBIAD1_-_11333292.23-P1P2	1.000000e+00	1.073267e+00
B4GALT7_+_177027196.23-P1P2|B4GALT7_+_177027193.23-P1P2	1.000000e+00	1.139013e+00
AMBRA1_+_46615541.23-P1P2|AMBRA1_-_46615538.23-P1P2	1.000000e+00	1.088570e+00
RBL1_-_35724244.23-P1P2|RBL1_+_35724456.23-P1P2	1.000000e+00	1.115464e+00
MTA3_+_42795764.23-P1P2|MTA3_-_42795917.23-P1P2	1.000000e+00	1.216783e+00
EFEMP1_+_56150840.23-P1P2|EFEMP1_+_56150828.23-P1P2	1.000000e+00	1.038970e+00
NUP43_-_150067567.23-P1P2|NUP43_-_150067430.23-P1P2	1.000000e+00	1.165673e+00
MAPRE3_-_27193580.23-P1P2|MAPRE3_-_27193552.23-P1P2	1.000000e+00	1.635058e+00
TADA2B_+_7045440.23-P1P2|TADA2B_-_7045121.23-P1P2	1.000000e+00	1.048945e+00
BARHL1_-_135458047.23-P1P2|BARHL1_-_135458021.23-P1P2	1.000000e+00	1.115542e+00
MYCBP2_+_77901201.23-P1P2|MYCBP2_+_77901103.23-P1P2	1.000000e+00	1.062447e+00
PUM1_-_31538464.23-P1P2|PUM1_+_31538495.23-P1P2	1.000000e+00	1.095040e+00
HNRNPU_+_245027773.23-P1P2|HNRNPU_-_245027750.23-P1P2	1.000000e+00	1.699575e+00
SPIRE2_-_89894924.23-P1P2|SPIRE2_-_89894901.23-P1P2	1.000000e+00	1.139433e+00
PARP15_-_122296517.23-P1P2|PARP15_-_122296715.23-P1P2	1.000000e+00	1.372408e+00
MED26_+_16738991.23-P1P2|MED26_-_16738545.23-P1P2	1.000000e+00	1.357099e+00
AGO3_+_36396775.23-P1P2|AGO3_-_36396745.23-P1P2	1.000000e+00	1.510736e+00
DDHD1_+_53619624.23-P1P2|DDHD1_+_53619873.23-P1P2	1.000000e+00	1.367050e+00
TNRC6A_-_24741237.23-P1P2|TNRC6A_-_24741413.23-P1P2	1.000000e+00	1.042044e+00
VPS45_-_150039852.23-P1P2|VPS45_-_150039823.23-P1P2	1.000000e+00	1.099018e+00
CAPZA1_-_113162510.23-P1P2|CAPZA1_+_113162673.23-P1P2	1.000000e+00	1.129066e+00
PCDHA8_-_140220811.23-P1P2|PCDHA8_-_140220829.23-P1P2	1.000000e+00	1.508864e+00
MUC4_+_195538765.23-P1P2|MUC4_-_195538778.23-P1P2	1.000000e+00	1.235897e+00
GATAD1_+_92076875.23-P1P2|GATAD1_+_92076945.23-P1P2	1.000000e+00	1.220702e+00
CHRNA4_+_61992566.23-P1P2|CHRNA4_-_61992667.23-P1P2	1.000000e+00	1.575990e+00
MAP2K6_+_67410896.23-P1P2|MAP2K6_+_67410867.23-P1P2	1.000000e+00	1.050159e+00
EIF2AK4_+_40226372.23-P1P2|EIF2AK4_-_40226368.23-P1P2	1.000000e+00	1.044029e+00
EFCAB13_-_45401375.23-P1P2|EFCAB13_-_45401403.23-P1P2	1.000000e+00	1.574874e+00
LOH12CR1_+_12510109.23-P1P2|LOH12CR1_+_12510330.23-P1P2	1.000000e+00	1.698972e+00
SEPT11_-_77870960.23-P1P2|SEPT11_-_77870971.23-P1P2	1.000000e+00	1.174553e+00
PQLC1_-_77710774.23-P1P2|PQLC1_+_77711564.23-P1P2	1.000000e+00	1.359748e+00
NLRP3_+_247579507.23-P1P2|NLRP3_-_247579522.23-P1P2	1.000000e+00	1.046044e+00
WWOX_-_78133991.23-P1P2|WWOX_-_78133601.23-P1P2	1.000000e+00	1.107431e+00
COPRS_-_30186172.23-P1P2|COPRS_+_30186241.23-P1P2	1.000000e+00	1.044593e+00
ADAM2_-_39695737.23-P1P2|ADAM2_-_39695635.23-P1P2	1.000000e+00	1.137524e+00
ETV3L_-_157069552.23-P1P2|ETV3L_+_157069561.23-P1P2	1.000000e+00	1.096437e+00
IKZF3_+_38020446.23-P1P2|IKZF3_+_38020440.23-P1P2	1.000000e+00	1.206320e+00
SMARCA5_-_144434861.23-P1P2|SMARCA5_+_144435243.23-P1P2	1.000000e+00	1.140184e+00
