sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
FTSJ1_+_48334667.23-P1P2|FTSJ1_-_48334676.23-P1P2	FTSJ1	3827.9	4890.9	4628.5	3245.1	2471.9	3269.9
FOLR2_-_71927871.23-P1P2|FOLR2_-_71927878.23-P1P2	FOLR2	1691.7	1236.5	866.37	1257.3	2157.1	1926.6
FES_+_91427657.23-P1P2|FES_+_91427765.23-P1P2	FES	932.05	1086.6	1949.9	1731.1	2568.7	1243.4
CRISPLD1_+_75896812.23-P1P2|CRISPLD1_+_75896820.23-P1P2	CRISPLD1	3513.8	3251.8	2208.9	5167.4	4287.7	4399.9
FAM110B_+_58907076.23-P1P2|FAM110B_-_58907117.23-P1P2	FAM110B	4907.3	4578.4	5305.7	6333.2	6401	6331.3
C10orf11_-_77542537.23-ENST00000372499.1|C10orf11_-_77542586.23-ENST00000372499.1	C10orf11	2015.1	2543.1	2985	2704.7	1534.5	439.12
ZNF518A_-_97890256.23-P1P2|ZNF518A_-_97889687.23-P1P2	ZNF518A	428.74	224.02	207.46	931.02	441.57	504.46
KCNJ14_+_48958255.23-P1P2|KCNJ14_-_48958961.23-P1P2	KCNJ14	4021.8	3394.5	3463.3	4649.9	5416.4	4389.3
KIAA1614_+_180882281.23-P1P2|KIAA1614_-_180882387.23-P1P2	KIAA1614	1228.4	2090.3	1806.9	1187.7	509.59	964.73
DRD1_+_174871119.23-P1P2|DRD1_-_174871153.23-P1P2	DRD1	1504.3	3155.4	3200	1461	2025.7	2778.9
NUTM2G_-_99690619.23-ENST00000354649.3|NUTM2G_+_99690624.23-ENST00000354649.3	NUTM2G	4184	4186.9	4874.7	5497.8	6556.6	3164.2
PKIB_-_122931583.23-P1|PKIB_-_122931580.23-P1	PKIB	3587.5	3679.9	3030.2	3102.7	5372.6	4795.8
DENND6A_+_57678754.23-P1P2|DENND6A_+_57678528.23-P1P2	DENND6A	4552.1	4256.3	6202.2	5359.6	6454	5921.9
PTHLH_+_28125641.23-P1|PTHLH_+_28125655.23-P1	PTHLH	4082.4	3412.9	2703.4	4589.6	2991.8	5116.7
PELI2_+_56585128.23-P1P2|PELI2_-_56585090.23-P1P2	PELI2	2044	1670.2	1153.4	3010.2	2477.6	2345.5
KLHDC3_-_42982018.23-P1|KLHDC3_-_42982014.23-P1	KLHDC3	3600.5	2370.9	1823	2899	4166.6	3342
TREML4_-_41196285.23-P1P2|TREML4_+_41196765.23-P1P2	TREML4	4294.9	2209.1	4402.8	5789.8	5622.8	4912
non-targeting_00531|non-targeting_01795	CTRLGENE	7153.5	6311.5	6306.5	4685.2	4644	6160.2
non-targeting_00509|non-targeting_02389	CTRLGENE	1415.8	807.57	420.29	1358.1	351.64	1454.8
MANEAL_-_38259722.23-P1P2|MANEAL_+_38259481.23-P1P2	MANEAL	6581.2	8764.5	6923.5	8224.4	8630.8	8813.2
EEA1_-_93323052.23-P1P2|EEA1_-_93323009.23-P1P2	EEA1	4523.3	3694.3	5359.5	5887.5	5953.7	4196.2
ANKRD30B_+_14748218.23-P1P2|ANKRD30B_-_14748199.23-P1P2	ANKRD30B	2370.2	2074.3	3723.5	3340.7	3743.5	3185.3
CDC7_+_91966607.23-P1P2|CDC7_+_91966603.23-P1P2	CDC7	342.06	624.21	123.61	692.03	685.99	1424
FAM204A_+_120101771.23-P1P2|FAM204A_+_120101760.23-P1P2	FAM204A	3163.4	3529.2	5496	4725.8	5302.3	4216.4
TMEM174_-_72469073.23-P1P2|TMEM174_+_72469087.23-P1P2	TMEM174	1344	1553.8	1728.4	1415.2	509.59	777.35
GHRL_+_10334557.23-P1P2|GHRL_-_10334547.23-P1P2	GHRL	1058.8	1372	596.57	573.57	276.7	425.67
IBTK_-_82950492.23-P2|IBTK_+_82950510.23-P2	IBTK	4784.2	3834.6	5312.2	2174.8	3545.2	3380.4
SPEF1_-_3761865.23-P1P2|SPEF1_-_3761873.23-P1P2	SPEF1	4895.1	5157.9	4932.7	6359.2	8114.2	6091
KAAG1_+_24357970.23-P1P2|KAAG1_+_24357727.23-P1P2	KAAG1	5843	7077.6	7325.5	5352.3	4157.4	5734.6
FAM3C_+_121036344.23-P1P2|FAM3C_+_121036351.23-P1P2	FAM3C	5254.9	5201.8	5774.4	6729.1	5507.5	7324.8
CEP112_+_64188173.23-P1P2|CEP112_-_64187934.23-P1P2	CEP112	2643.3	2044	2588.4	3603.5	4024.8	2113
NDUFB9_+_125551406.23-P1P2|NDUFB9_+_125551422.23-P1P2	NDUFB9	69.904	190.53	2.1498	221.33	1.1529	233.49
ZNF165_+_28048695.23-P1P2|ZNF165_+_28048708.23-P1P2	ZNF165	7285.9	6372.1	8284.3	5419.9	6319.1	5535.6
SSNA1_+_140083500.23-P1P2|SSNA1_+_140083300.23-P1P2	SSNA1	34.486	196.91	0	60.267	0	1.9218
ETFDH_+_159593530.23-P1P2|ETFDH_-_159593461.23-P1P2	ETFDH	5320.2	4879.7	6678.4	3837.3	3868	3778.2
SLC45A3_-_205649611.23-P1P2|SLC45A3_-_205649343.23-P1P2	SLC45A3	21193	17790	19778	22152	25108	22739
GPR6_-_110299538.23-P1P2|GPR6_+_110299807.23-P1P2	GPR6	4348	3558.7	3432.2	4429.6	4955.2	4758.3
CRABP2_-_156675360.23-P1P2|CRABP2_+_156675317.23-P1P2	CRABP2	523.81	1242.8	496.61	867.64	1412.3	960.88
SLC13A4_+_135412894.23-P1P2|SLC13A4_-_135412828.23-P1P2	SLC13A4	3049.7	3035	2449.7	1669.8	1932.3	3364.1
SLC39A3_+_2739960.23-P1P2|SLC39A3_+_2740005.23-P1P2	SLC39A3	11392	11733	10919	9178.2	8847.5	9218.7
ASL_-_65540899.23-P1P2|ASL_+_65541008.23-P1P2	ASL	3097.2	4114.4	3222.6	2465.7	4436.4	4360.5
ARHGDIA_+_79829172.23-P1P2|ARHGDIA_+_79829165.23-P1P2	ARHGDIA	1496.9	1805.7	1724.1	2542.6	2372.7	2709.7
PSIP1_+_15510952.23-P1P2|PSIP1_-_15510782.23-P1P2	PSIP1	8783.7	8766.1	5970	8644.1	11130	10694
NUDCD2_+_162886886.23-P1P2|NUDCD2_+_162887114.23-P1P2	NUDCD2	6860.8	5622.7	6142	4543.9	5561.7	3663.8
SNX27_-_151584780.23-P1P2|SNX27_-_151584683.23-P1P2	SNX27	3553	3982.1	2729.2	4049.3	4996.8	4750.6
TRIM3_+_6495151.23-P1P2|TRIM3_-_6495072.23-P1P2	TRIM3	3790.7	3385.7	2331.5	4553.3	5131.6	4017.5
non-targeting_01341|non-targeting_02425	CTRLGENE	2869.8	3487	2372.3	1777.9	1799.7	3350.6
PRH2_+_11082083.23-P1P2|PRH2_-_11082212.23-P1P2	PRH2	2716	4129.5	4576.9	2447	2833.9	3451.5
EFCAB13_-_45401375.23-P1P2|EFCAB13_-_45401403.23-P1P2	EFCAB13	3461.6	3883.2	5139.1	2628.9	2716.3	57.653
TCF7L2_+_114710032.23-P1P2|TCF7L2_+_114710001.23-P1P2	TCF7L2	4163.5	4226.8	5329.4	2826.3	3597.1	2915.3
GPR15_+_98250851.23-P1P2|GPR15_-_98250860.23-P1P2	GPR15	3368.4	4254.7	3966.4	4950.2	2259.7	2698.2
CLASP2_+_33759687.23-P1|CLASP2_+_33759703.23-P1	CLASP2	4626.7	4387	2763.6	5724.3	4514.8	5872.9
non-targeting_00768|non-targeting_02867	CTRLGENE	2487.7	2069.6	2271.3	1968	3216.6	3298.7
VPS25_+_40925531.23-P1P2|VPS25_+_40925514.23-P1P2	VPS25	1585.4	1567.3	1298.5	581.89	1499.9	789.85
DEFB128_-_170107.23-P1P2|DEFB128_+_170039.23-P1P2	DEFB128	4836.4	5715.2	6258.1	4178.2	3210.9	4470
KCNG2_+_77623819.23-P1P2|KCNG2_-_77624003.23-P1P2	KCNG2	1033.6	944.69	980.31	1490	2028	1587.4
non-targeting_02057|non-targeting_01508	CTRLGENE	2494.2	2318.3	3350.5	1501.5	1332.8	2222.5
LRCH4_-_100183735.23-P1|LRCH4_+_100183739.23-P1	LRCH4	6326.8	6043.6	5257.4	3359.4	6514	4461.4
non-targeting_02759|non-targeting_02561	CTRLGENE	2709.5	3890.4	3403.1	2234	3622.5	1832.4
HMGN1_-_40720996.23-P1P2|HMGN1_-_40720508.23-P1P2	HMGN1	4825.2	4937.1	4711.3	6230.4	5588.2	6487.9
ARL4C_+_235405676.23-P1P2|ARL4C_+_235405481.23-P1P2	ARL4C	4719	6143.3	5450.8	3952.7	3449.5	4697.8
SPZ1_+_79615890.23-P1P2|SPZ1_+_79615859.23-P1P2	SPZ1	2326.4	3189.6	3702	1830.9	2060.3	3305.4
non-targeting_00753|non-targeting_01110	CTRLGENE	3530.6	2995.9	2648.6	4078.4	4528.7	4088.6
UHRF2_-_6413588.23-P1P2|UHRF2_+_6413352.23-P1P2	UHRF2	16931	16953	17536	17760	22808	19676
FBXW2_-_123555673.23-P1P2|FBXW2_+_123555614.23-P1P2	FBXW2	2826	2402.8	3498.8	4719.5	3885.3	2988.3
NLGN2_+_7311230.23-P1P2|NLGN2_+_7311211.23-P1P2	NLGN2	3982.7	4352.8	4357.7	4693.5	6644.3	5682.7
CLDN7_-_7165777.23-P1P2|CLDN7_-_7165733.23-P1P2	CLDN7	4021.8	5417	2578.7	2314	2746.3	3728.2
ORMDL2_-_56211892.23-P1P2|ORMDL2_-_56211850.23-P1P2	ORMDL2	7131.1	8082.9	8416.5	5292.1	6240.7	7244.1
EXTL2_-_101360384.23-P1P2|EXTL2_+_101360354.23-P1P2	EXTL2	2990	2004.2	1961.7	2887.6	1691.3	4398
VAPB_+_56964373.23-P1P2|VAPB_+_56964378.23-P1P2	VAPB	3134.5	2209.1	2589.4	1578.4	790.9	1733.4
FBXL2_+_33318961.23-P1P2|FBXL2_-_33318975.23-P1P2	FBXL2	2792.4	3362.6	2163.8	2535.4	4338.4	3844.5
PRKAR1B_-_751919.23-P1|PRKAR1B_-_751907.23-P1	PRKAR1B	3165.3	3561.1	3971.8	5041.6	4756.9	3115.2
ZNFX1_-_47894741.23-P1P2|ZNFX1_+_47894572.23-P1P2	ZNFX1	7945.8	8708.7	8106.9	7270.5	6262.7	5912.3
TMEM214_-_27255873.23-P1P2|TMEM214_-_27255853.23-P1P2	TMEM214	3102.8	2723.3	3655.7	4214.5	3899.2	5579.8
FDFT1_+_11666015.23-P2|FDFT1_-_11665998.23-P2	FDFT1	3785.1	4737	5275.6	2367	3781.6	3347.7
UHRF1BP1L_+_100536640.23-P1P2|UHRF1BP1L_-_100536607.23-P1P2	UHRF1BP1L	2551	3447.1	3222.6	3621.2	4655.5	4356.6
non-targeting_01955|non-targeting_03532	CTRLGENE	4024.6	4486.7	3824.5	2281.8	2749.7	3796.5
SSH2_-_28257209.23-P1P2|SSH2_+_28257189.23-P1P2	SSH2	3186.7	2548.7	2366.9	3550.6	3282.4	4076.1
ZCCHC14_-_87525250.23-P1P2|ZCCHC14_-_87525289.23-P1P2	ZCCHC14	3083.2	2728.8	3458	4116.9	5351.8	4190.4
HSBP1_+_83841970.23-P1P2|HSBP1_+_83842007.23-P1P2	HSBP1	175.23	234.38	4.2996	157.94	419.66	460.26
ZYX_-_143078449.23-P1P2|ZYX_+_143078695.23-P1P2	ZYX	7518.9	8475.9	5877.6	5748.2	6146.2	5111.9
RSRC2_-_123011510.23-P1P2|RSRC2_-_123011518.23-P1P2	RSRC2	1413.9	1401.5	1344.7	2132.2	2969.9	2090.9
ANXA6_-_150537278.23-P1P2|ANXA6_+_150537317.23-P1P2	ANXA6	7021.2	5436.2	6371	5734.7	4347.7	4748.7
LSM1_-_38033617.23-P1P2|LSM1_-_38033577.23-P1P2	LSM1	2021.6	1195	2411	2808.6	2907.7	3708
DPM1_-_49574845.23-P1P2|DPM1_+_49575015.23-P1P2	DPM1	3595.9	2842	4020.1	4089.8	4872.2	4795.8
MYPN_-_69869189.23-P1|MYPN_+_69869145.23-P1	MYPN	1861.3	2808.6	2802.3	2448.1	1750.1	1515.3
non-targeting_00470|non-targeting_02343	CTRLGENE	4651.9	3328.3	4461.9	4185.4	5806.1	5913.3
ZP4_+_238053942.23-P1P2|ZP4_+_238053976.23-P1P2	ZP4	4184	4012.4	5455.1	2639.3	2884.6	3489.9
C3orf56_-_126911967.23-P1P2|C3orf56_+_126911988.23-P1P2	C3orf56	5252.1	3530.8	2962.4	5627.7	4718.9	3321.8
OAS2_+_113416366.23-P1P2|OAS2_+_113416429.23-P1P2	OAS2	3516.6	4295.4	3210.7	2464.7	2331.2	1839.1
SLC8B1_+_113772898.23-P1|SLC8B1_+_113772936.23-P1	SLC8B1	8320.4	8448.8	8522.9	6568.1	6414.8	7662.1
TMPRSS2_-_42879996.23-P1P2|TMPRSS2_+_42879999.23-P1P2	TMPRSS2	141.67	420.93	325.7	582.93	664.08	832.13
TNXB_-_32077116.23-P1P2|TNXB_-_32077098.23-P1P2	TNXB	3334.9	2139.7	1645.7	3051.8	1872.3	3828.2
HDDC3_+_91475754.23-P1P2|HDDC3_+_91475701.23-P1P2	HDDC3	6949.4	6913.4	5788.4	4908.6	5221.6	5328.1
PIGN_+_59854227.23-P1P2|PIGN_-_59854201.23-P1P2	PIGN	5614.7	5775.8	5891.6	4063.9	4237	4605.5
AMIGO3_+_49761355.23-P1|AMIGO3_-_49761366.23-P1	AMIGO3	677.6	248.73	480.48	895.69	766.69	1103.1
ATOH8_-_85981251.23-P1P2|ATOH8_-_85981376.23-P1P2	ATOH8	4736.7	5298.2	5162.8	4461.8	6613.1	7066.3
C1orf85_+_156265403.23-P1|C1orf85_+_156265451.23-P1	C1orf85	2693.6	4312.1	5526.1	2629.9	2993	3864.7
DPF2_-_65101346.23-P1|DPF2_+_65101695.23-P1	DPF2	1501.5	798.8	608.4	720.09	1822.8	1341.4
OR5B3_-_58170835.23-ENST00000309403.2|OR5B3_-_58170653.23-ENST00000309403.2	OR5B3	3059	2813.3	3049.5	2832.5	1950.7	405.49
SPDYA_-_29005381.23-P2|SPDYA_-_29005378.23-P2	SPDYA	3593.1	4909.2	2632.4	3390.5	6610.8	4791
OXSM_+_25831597.23-P1P2|OXSM_+_25831627.23-P1P2	OXSM	2782.2	2791	2383.1	1771.6	1555.3	1735.4
LRRC37B_-_30334632.23-P1P2|LRRC37B_+_30334606.23-P1P2	LRRC37B	3555.8	3267.8	2537.8	1507.7	2488	2128.4
HOMER1_-_78809959.23-P1P2|HOMER1_-_78810151.23-P1P2	HOMER1	7044.5	5810.9	7807	5336.7	3687	7060.6
TCHP_+_110338076.23-P1P2|TCHP_-_110338108.23-P1P2	TCHP	3144.7	3911.1	2540	3024.8	4261.2	5110
TSPYL1_+_116600888.23-P1P2|TSPYL1_-_116601052.23-P1P2	TSPYL1	5096.5	5811.7	5526.1	4108.5	4023.7	3675.4
TBC1D22B_-_37225592.23-P1P2|TBC1D22B_-_37225569.23-P1P2	TBC1D22B	4475.7	3158.5	4793	2024.1	3131.3	4185.6
TMEM132E_+_32907948.23-P1P2|TMEM132E_+_32907887.23-P1P2	TMEM132E	14069	14766	13101	11612	12408	10059
CES2_-_66969477.23-P2|CES2_-_66969510.23-P2	CES2	3714.2	3956.5	2983.9	2495.9	1649.8	2691.4
CYP51A1_+_91763777.23-P1P2|CYP51A1_-_91763767.23-P1P2	CYP51A1	3231.4	2846	2197.1	4794.3	3904.9	3288.1
CCL14_-_34328887.23-P2|CCL14_+_34328997.23-P2	CCL14	6720.1	7697.1	7046	9180.3	8753	8239.6
SRGN_-_70847910.23-P1|SRGN_+_70847959.23-P1	SRGN	3869.9	3605	6671.9	4578.2	2318.5	2625.1
ACBD7_+_15130776.23-P1P2|ACBD7_+_15130765.23-P1P2	ACBD7	195.73	118.78	126.84	8.3127	0	108.58
TRUB2_-_131084721.23-P1P2|TRUB2_+_131084471.23-P1P2	TRUB2	7710.9	5298.2	6351.6	4736.1	3961.4	4747.7
BNIP2_-_59981496.23-P1P2|BNIP2_-_59981473.23-P1P2	BNIP2	5542.9	5173.9	4961.8	3724.1	3296.2	5424.2
IRG1_-_77526657.23-P2|IRG1_+_77526642.23-P2	IRG1	2696.4	4188.5	3587	2520.8	1609.5	2391.6
LCN1_-_138413340.23-P1P2|LCN1_-_138413321.23-P1P2	LCN1	4113.2	4002.8	3704.1	5269.2	2405	6156.4
PRKCI_-_169940251.23-P1P2|PRKCI_-_169940398.23-P1P2	PRKCI	6380.8	3963.7	5647.5	7282.9	5643.5	7165.3
STRC_+_43910967.23-ENST00000450892.2|STRC_-_43910947.23-ENST00000450892.2	STRC	3389.9	3008.7	4125.5	3399.9	5189.3	4549.8
non-targeting_01920|non-targeting_01275	CTRLGENE	1137.1	1851.9	1214.6	1890.1	1436.5	1928.5
PRSS37_-_141541010.23-P1P2|PRSS37_-_141541281.23-P1P2	PRSS37	2607.9	2288.8	3030.2	2732.8	3617.9	3909.8
PAX6_-_31832634.23-P1P2|PAX6_+_31832846.23-P1P2	PAX6	4954.8	7300.8	6119.4	4536.6	4381.1	6388
LMAN1L_+_75105198.23-P1P2|LMAN1L_+_75105187.23-P1P2	LMAN1L	6721	6594.5	5290.7	4807.8	4948.3	6677.2
PLD3_-_40854641.23-P2|PLD3_-_40854603.23-P2	PLD3	4802.9	6499.6	5089.7	6587.8	6524.4	5407.9
MAT2B_+_162930366.23-P2|MAT2B_+_162930361.23-P2	MAT2B	1851.1	1865.5	2659.3	2711	2912.3	46.122
SHROOM1_+_132166297.23-P1P2|SHROOM1_+_132166277.23-P1P2	SHROOM1	4700.3	5154.8	4551.1	3200.4	4127.4	3324.7
NTM_-_131780774.23-ENST00000374786.1|NTM_+_131781017.23-ENST00000374786.1	NTM	442.73	215.25	311.72	119.49	641.02	684.15
CCL21_-_34710039.23-P1P2|CCL21_-_34710127.23-P1P2	CCL21	5697.6	4148.7	6222.6	4834.9	4175.9	3838.7
TBXA2R_-_3606829.23-P1P2|TBXA2R_+_3606844.23-P1P2	TBXA2R	4351.8	3341.1	6072.1	4692.5	7613.9	5672.1
RGPD8_+_113190931.23-ENST00000302558.3|RGPD8_+_113190934.23-ENST00000302558.3	RGPD8	1166	607.47	1461.9	1440.2	2205.5	1825.7
FIS1_+_100888325.23-P1|FIS1_+_100888172.23-P1	FIS1	6116.1	6412	6131.3	4487.8	5879.9	4549.8
SPAG4_-_34205012.23-P1|SPAG4_-_34205004.23-P1	SPAG4	3717	2436.3	2723.8	2829.4	3755.1	4328.8
CCDC112_+_114632281.23-P1P2|CCDC112_-_114632309.23-P1P2	CCDC112	675.74	1229.3	1013.6	552.79	401.22	402.61
TTI2_+_33370618.23-P1P2|TTI2_-_33370638.23-P1P2	TTI2	1196.8	1560.9	1886.5	2404.4	792.06	698.56
PSAPL1_-_7436646.23-P1P2|PSAPL1_-_7436581.23-P1P2	PSAPL1	2699.2	4281.8	5623.9	5590.3	5792.3	4278.8
SKIV2L_+_31927098.23-P1P2|SKIV2L_+_31926230.23-P1P2	SKIV2L	106.25	0	0	161.06	14.988	0.96088
UHRF1_+_4910126.23-P1P2|UHRF1_+_4909924.23-P1P2	UHRF1	4626.7	5036.8	5827.1	4309.1	3612.1	3483.2
PTCD2_-_71616207.23-P1P2|PTCD2_-_71616212.23-P1P2	PTCD2	3893.2	4464.4	4258.8	3451.8	2787.8	2954.7
LRIG2_+_113616257.23-P1P2|LRIG2_+_113615863.23-P1P2	LRIG2	2073.8	2036.9	2670.1	3265.8	2250.5	2966.2
GUK1_-_228327987.23-P1P2|GUK1_-_228328011.23-P1P2	GUK1	1737.3	1659	2462.6	2995.7	2550.3	1631.6
PYCARD_+_31214058.23-P1P2|PYCARD_+_31213817.23-P1P2	PYCARD	4116.9	6032.5	4422.2	3970.3	5751.9	5826.8
SLFN14_+_33885023.23-ENST00000415846.3|SLFN14_+_33884911.23-ENST00000415846.3	SLFN14	4497.2	5600.4	3876.1	3155.7	2590.6	3738.8
non-targeting_00442|non-targeting_01312	CTRLGENE	3895.1	4409.4	6062.5	5736.8	5845.3	4713.1
DCAF4L2_+_88886195.23-P1P2|DCAF4L2_-_88886230.23-P1P2	DCAF4L2	4931.5	2930.5	5857.2	3523.5	2967.6	3555.3
FSTL3_+_676406.23-P1|FSTL3_+_676469.23-P1	FSTL3	6775.1	6446.2	6711.7	5132	3524.5	5056.2
SUCLG2_-_67704862.23-P1P2|SUCLG2_-_67704681.23-P1P2	SUCLG2	6062.1	5866.7	4901.6	4369.4	4324.6	2453.1
TARSL2_-_102264605.23-P1P2|TARSL2_+_102264608.23-P1P2	TARSL2	19201	17200	19795	14001	17665	16322
GHRHR_-_31023490.23-P1|GHRHR_-_31023471.23-P1	GHRHR	3791.6	4357.5	4931.7	3039.3	4283.1	2913.4
FMR1NB_+_147062871.23-P1P2|FMR1NB_-_147062891.23-P1P2	FMR1NB	2525.9	2172.4	2996.8	2999.8	3749.3	3514.9
OR5D16_-_55606279.23-ENST00000378396.1|OR5D16_+_55606261.23-ENST00000378396.1	OR5D16	5729.3	6506	7307.2	4754.9	4878	6626.3
NSMCE4A_-_123734775.23-P1P2|NSMCE4A_-_123734710.23-P1P2	NSMCE4A	1643.2	1533	898.62	2293.3	2802.7	2062.1
HLF_-_53342349.23-P1|HLF_-_53342346.23-P1	HLF	4684.5	3719	3758.9	7233.1	4978.3	4485.4
FRZB_-_183731866.23-P1P2|FRZB_-_183731869.23-P1P2	FRZB	97.866	3550.8	1974.6	2842.9	2944.6	2044.8
LGALS14_+_40195140.23-P1P2|LGALS14_+_40195103.23-P1P2	LGALS14	2412.2	2712.9	1687.6	1447.4	1293.6	1767.1
FSD2_+_83474812.23-P1P2|FSD2_+_83474800.23-P1P2	FSD2	5291.3	4696.4	4368.4	3386.4	3326.2	3057.5
MYH1_+_10421791.23-P1P2|MYH1_+_10421783.23-P1P2	MYH1	2561.3	2260.9	3752.5	3556.8	4308.5	2359
non-targeting_01055|non-targeting_01396	CTRLGENE	1940.5	1207	1504.9	2648.6	2232.1	2257.1
non-targeting_03753|non-targeting_00369	CTRLGENE	2376.7	3270.9	3403.1	3289.7	1252.1	2138.9
non-targeting_00089|non-targeting_01490	CTRLGENE	3273.4	2559.8	3637.5	5065.5	4405.3	3377.5
CCZ1B_+_6865985.23-ENST00000316731.8|CCZ1B_+_6865923.23-ENST00000316731.8	CCZ1B	3405.7	3703.8	4809.1	4911.8	5422.2	4880.3
AHSP_-_31539252.23-P1P2|AHSP_+_31539439.23-P1P2	AHSP	3781.3	4933.9	2726	2560.3	2586	2484.8
SSTR5_-_1128978.23-P1|SSTR5_-_1128859.23-P1	SSTR5	6642.7	6194.3	7084.7	7763	8568.5	8285.7
TMEM161A_+_19249264.23-P1P2|TMEM161A_-_19249271.23-P1P2	TMEM161A	5374.2	5431.4	5148.8	9380.9	4778.8	6843.4
LACRT_-_55028436.23-P1P2|LACRT_-_55028331.23-P1P2	LACRT	5867.3	6709.3	5699.1	4286.2	4329.2	4660.3
IL17RA_+_17565887.23-P1P2|IL17RA_-_17565907.23-P1P2	IL17RA	2751.4	3161.7	1819.8	3783.3	2652.9	3857.9
FGG_+_155533773.23-P1P2|FGG_-_155533743.23-P1P2	FGG	939.51	962.23	2346.5	1555.5	1657.9	1301
non-targeting_00410|non-targeting_00731	CTRLGENE	3674.2	4185.3	4882.2	5579.9	5471.8	5068.7
HIST4H4_+_14923995.23-ENST00000539745.1|HIST4H4_+_14924057.23-ENST00000539745.1	HIST4H4	3735.7	5299.8	4834.9	4268.6	3447.2	3289.1
TMEM65_-_125384944.23-P1P2|TMEM65_-_125384931.23-P1P2	TMEM65	3960.3	3446.3	3837.4	4429.6	1601.4	2608.8
MAGEA11_+_148793717.23-P1|MAGEA11_+_148793714.23-P1	MAGEA11	4364.8	2834.9	4990.8	5679.6	8555.8	4204.8
AEN_-_89164606.23-P1P2|AEN_-_89164638.23-P1P2	AEN	6654.9	6635.2	6326.9	10539	8274.5	6540.7
LIX1L_-_145477097.23-P1P2|LIX1L_-_145477093.23-P1P2	LIX1L	3978.9	5059.1	3263.4	5393.9	5230.8	4764.1
"PTPRN2_+_158380463.23-ENST00000389416.4,ENST00000389418.4,ENST00000409483.1|PTPRN2_+_158380468.23-ENST00000389416.4,ENST00000389418.4,ENST00000409483.1"	PTPRN2	37.282	3056.5	5665.8	4145.9	4905.7	38.435
BCAT1_-_25101990.23-P1P2|BCAT1_-_25101902.23-P1P2	BCAT1	4437.5	3293.3	4574.8	5772.1	3111.7	2836.5
SMARCA2_-_2015368.23-P1P2|SMARCA2_+_2015381.23-P1P2	SMARCA2	2609.7	1728.3	2200.3	2085.4	3116.3	3674.4
KMT2A_+_118307196.23-P1P2|KMT2A_-_118307279.23-P1P2	KMT2A	4477.6	6728.4	4216.8	5520.7	6666.2	5808.5
AKR1B15_+_134234041.23-P1P2|AKR1B15_-_134233853.23-P1P2	AKR1B15	2737.4	3565.9	3311.8	3552.6	2107.5	2176.4
PFKFB3_-_6244912.23-P1P2|PFKFB3_+_6244964.23-P1P2	PFKFB3	735.39	861.78	890.02	1420.4	1772	658.21
GYG2_-_2747010.23-P1P2|GYG2_-_2747021.23-P1P2	GYG2	4959.5	5639.5	8166	6271.9	8714.9	7142.2
MGAT3_+_39853086.23-P1P2|MGAT3_+_39853306.23-P1P2	MGAT3	6934.5	7508.9	4323.3	4015	5514.4	5258.9
PDSS2_-_107780554.23-P1P2|PDSS2_+_107780732.23-P1P2	PDSS2	1914.4	3286.9	3821.3	2826.3	1878.1	2156.2
PPP1R7_-_242089926.23-P1P2|PPP1R7_+_242089597.23-P1P2	PPP1R7	3334.9	3579.5	2526	3061.1	2189.4	2195.6
ZBED2_-_111314138.23-P1P2|ZBED2_-_111314152.23-P1P2	ZBED2	1010.3	1576.9	1546.8	780.35	1408.9	786.96
DMRTA1_-_22447537.23-P1P2|DMRTA1_-_22447472.23-P1P2	DMRTA1	5860.8	6653.5	9090.5	8291.9	9779.1	6371.6
AFF4_-_132299252.23-P1P2|AFF4_+_132299267.23-P1P2	AFF4	4554	4367.9	5692.7	5895.8	7406.4	5763.4
NCAN_+_19322844.23-P1P2|NCAN_-_19322879.23-P1P2	NCAN	3825.1	4678.8	5223	3684.6	3025.3	3318.9
PCDHB8_+_140557364.23-ENST00000239444.2|PCDHB8_-_140557372.23-ENST00000239444.2	PCDHB8	3462.6	2481.7	2005.8	610.98	1508	1579.7
ACOX1_-_73975196.23-P1P2|ACOX1_-_73975193.23-P1P2	ACOX1	3610.8	2892.3	4371.6	1929.6	2424.6	2624.2
NR5A1_-_127269627.23-P1P2|NR5A1_+_127269680.23-P1P2	NR5A1	5781.5	6022.9	6847.1	4484.7	4118.2	4470
non-targeting_03691|non-targeting_00087	CTRLGENE	672.01	488.69	942.69	1304.1	1161	842.69
SPIN3_+_57021932.23-P1P2|SPIN3_+_57021925.23-P1P2	SPIN3	2290.1	1534.6	2157.3	2655.9	3061	3221.8
UBALD2_+_74261426.23-P1P2|UBALD2_-_74261500.23-P1P2	UBALD2	5681.8	6042.8	6898.7	4981.4	4488.3	3577.4
NALCN_-_102068791.23-P1P2|NALCN_-_102068794.23-P1P2	NALCN	2576.2	1787.3	1914.4	4165.7	2688.6	2762.5
TIMP2_-_76921439.23-P1P2|TIMP2_+_76921440.23-P1P2	TIMP2	3389.9	3827.4	4791.9	5048.9	6886.4	4786.2
SLC25A14_+_129473915.23-P1P2|SLC25A14_+_129473924.23-P1P2	SLC25A14	5412.4	5523.9	3249.4	3988	3594.8	3946.3
ABCG1_-_43639282.23-P1P2|ABCG1_+_43639503.23-P1P2	ABCG1	1335.6	1327.4	483.71	939.33	352.79	628.42
