sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
RRP1_+_45209480.23-P1P2|RRP1_-_45209489.23-P1P2	RRP1	61.516	1.5944	2.1498	281.59	762.08	541.94
DNAJB5_-_34989751.23-P1|DNAJB5_-_34989760.23-P1	DNAJB5	0	3.986	150.49	849.97	578.77	742.76
CHORDC1_-_89955982.23-P1P2|CHORDC1_-_89955894.23-P1P2	CHORDC1	2299.4	2530.3	2292.8	21518	23548	23202
FAM203A_-_145192776.23-ENST00000347708.4|FAM203A_+_145193123.23-ENST00000347708.4	FAM203A	1236.8	1080.2	1753.2	16254	17884	13800
SF3B14_-_24298806.23-P1P2|SF3B14_-_24298829.23-P1P2	SF3B14	0	0	138.66	448.88	0	312.29
CIAO1_-_96932005.23-P1P2|CIAO1_+_96932066.23-P1P2	CIAO1	918.07	509.42	1273.8	13397	11688	14377
DDT_+_24316746.23-ENST00000398344.4|DDT_-_24316680.23-ENST00000398344.4	DDT	3.7282	4.7833	9.6741	1094.2	162.56	781.2
P2RX7_-_121570779.23-P1P2|P2RX7_-_121571040.23-P1P2	P2RX7	77.36	0	0	297.18	415.05	0.96088
COG1_+_71189215.23-P1P2|COG1_-_71189243.23-P1P2	COG1	1.8641	2.3916	4.2996	491.49	1307.4	521.76
MAP4_+_48129928.23-P1P2|MAP4_+_48130309.23-P1P2	MAP4	0	0.79721	4.2996	140.28	377	290.19
NCDN_+_36023494.23-P1P2|NCDN_-_36023412.23-P1P2	NCDN	337.4	3.986	4.2996	960.11	185.62	705.29
NLE1_+_33469287.23-P1P2|NLE1_-_33469053.23-P1P2	NLE1	0	0.79721	1.0749	221.33	289.38	442.97
SACM1L_-_45730905.23-P1P2|SACM1L_-_45730829.23-P1P2	SACM1L	0	0.79721	1.0749	677.48	12.682	287.3
ELMO2_+_45035216.23-P1P2|ELMO2_-_45035202.23-P1P2	ELMO2	0	2.3916	135.44	1275	181.01	511.19
NMD3_-_160939520.23-P1P2|NMD3_-_160939105.23-P1P2	NMD3	0	3.1888	2.1498	1127.4	483.07	401.65
PTEN_+_89623582.23-P1P2|PTEN_-_89623526.23-P1P2	PTEN	907.82	1684.5	798.65	13423	10896	12426
HARS_+_140070923.23-P1P2|HARS_+_140070910.23-P1P2	HARS	0	0.79721	1.0749	278.47	156.8	343.04
ISM2_+_77964894.23-P1P2|ISM2_-_77965118.23-P1P2	ISM2	121.17	2.3916	1.0749	39.485	754.01	496.78
COG6_-_40229866.23-P1P2|COG6_+_40230096.23-P1P2	COG6	86.681	5.5805	2.1498	916.47	772.46	696.64
CALM2_-_47403900.23-P1P2|CALM2_+_47403695.23-P1P2	CALM2	2638.6	2638.8	2021.9	24236	19318	22278
PEX1_-_92157440.23-P1P2|PEX1_+_92157741.23-P1P2	PEX1	240.47	548.48	23.648	5796	6559	3783
SLC44A5_+_76081761.23-P1P2|SLC44A5_+_76081779.23-P1P2	SLC44A5	0.93205	204.09	3.2247	674.37	576.46	144.13
MAST1_+_12949344.23-P1|MAST1_+_12949376.23-P1	MAST1	905.96	393.02	261.2	6370.6	7582.7	7966.7
ERICH2_-_171640334.23-P1P2|ERICH2_-_171640337.23-P1P2	ERICH2	218.1	1.5944	7.5243	895.69	252.49	967.61
WARS_-_100841623.23-P1P2|WARS_+_100841441.23-P1P2	WARS	0	0	1.0749	281.59	270.94	77.832
ST7L_+_113161739.23-P1P2|ST7L_+_113161728.23-P1P2	ST7L	4.6603	5.5805	158.01	757.49	311.29	1422.1
TM9SF4_-_30697607.23-P1P2|TM9SF4_-_30697578.23-P1P2	TM9SF4	329.95	2.3916	2.1498	463.43	481.92	724.51
VMP1_-_57785061.23-P1P2|VMP1_-_57785088.23-P1P2	VMP1	0	0.79721	2.1498	269.12	306.68	207.55
RINT1_-_105172650.23-P1P2|RINT1_+_105172659.23-P1P2	RINT1	304.78	6.3777	52.67	1885.9	3013.7	2491.6
GTF2H5_+_158589422.23-P1P2|GTF2H5_-_158589434.23-P1P2	GTF2H5	96.002	0.79721	2.1498	452	477.31	95.127
KIAA1432_+_5629133.23-P1P2|KIAA1432_+_5629114.23-P1P2	KIAA1432	674.81	279.02	630.97	9221.9	9611.9	9482
MED6_+_71067331.23-P1P2|MED6_+_71067347.23-P1P2	MED6	192.94	0	1.0749	234.83	307.83	382.43
RPF1_-_84945270.23-P1P2|RPF1_+_84945350.23-P1P2	RPF1	0	0.79721	0	261.85	292.84	83.597
BRI3_+_97911337.23-P1P2|BRI3_+_97911238.23-P1P2	BRI3	500.51	1017.2	628.82	9097.2	9376.7	10107
M1AP_+_74875419.23-P1P2|M1AP_+_74875070.23-P1P2	M1AP	2.7962	0.79721	5.3745	501.88	690.6	505.42
MVD_+_88729520.23-P1P2|MVD_-_88729483.23-P1P2	MVD	0	146.69	2.1498	373.03	989.2	439.12
PSMD4_-_151227239.23-P1P2|PSMD4_-_151227243.23-P1P2	PSMD4	0	6.3777	0	259.77	662.93	245.03
RBM28_-_127983894.23-P1P2|RBM28_-_127983855.23-P1P2	RBM28	0	0.79721	1.0749	441.61	235.2	258.48
MRPL22_-_154320698.23-P1P2|MRPL22_-_154320703.23-P1P2	MRPL22	142.6	0	1.0749	319	300.91	122.03
CSTF3_+_33183038.23-P1P2|CSTF3_-_33182802.23-P1P2	CSTF3	136.08	0.79721	2.1498	233.79	690.6	433.36
PPIL1_+_36842544.23-P1P2|PPIL1_-_36842357.23-P1P2	PPIL1	0	0	2.1498	533.05	254.8	159.51
ATF4_-_39916548.23-P1P2|ATF4_-_39917038.23-P1P2	ATF4	600.24	342.8	901.84	10533	8812.9	8912.2
RNASE4_-_21152854.23-P1P2|RNASE4_+_21152724.23-P1P2	RNASE4	631.93	648.93	294.52	9150.2	9550.8	8572
ARMC7_+_73106080.23-P1P2|ARMC7_-_73106057.23-P1P2	ARMC7	2795.2	2351.8	2310	19342	15954	21229
DPH1_-_1933503.23-P1|DPH1_-_1933469.23-P1	DPH1	863.08	999.7	441.79	10799	12677	8018.6
C7orf57_+_48075203.23-P1P2|C7orf57_+_48075262.23-P1P2	C7orf57	125.83	0	1.0749	294.06	1.1529	341.11
USP9X_+_40945320.23-P1P2|USP9X_-_40944738.23-P1P2	USP9X	381.21	240.76	621.29	6834.1	5958.3	8326.1
ZDHHC17_-_77158277.23-P1P2|ZDHHC17_+_77158099.23-P1P2	ZDHHC17	1714	1690.1	996.44	15698	19492	15528
COG8_+_69373427.23-P1P2|COG8_-_69373434.23-P1P2	COG8	56.855	4.7833	6.4494	989.21	691.75	751.41
NOC2L_+_894616.23-P1P2|NOC2L_-_894602.23-P1P2	NOC2L	0	155.46	1.0749	8.3127	284.77	474.68
COG4_+_70557377.23-P1P2|COG4_+_70557397.23-P1P2	COG4	480.94	340.41	158.01	6558.7	6070.1	6176.6
RFX3_-_3525599.23-P1P2|RFX3_-_3525984.23-P1P2	RFX3	0.93205	0	4.2996	260.81	380.46	110.5
AGPAT6_+_41435781.23-P1P2|AGPAT6_-_41435749.23-P1P2	AGPAT6	67.108	2.3916	2.1498	897.77	427.73	282.5
FARSB_-_223520739.23-P1P2|FARSB_-_223520751.23-P1P2	FARSB	0	0	3.2247	236.91	10.376	400.69
AP1G1_-_71842702.23-P1P2|AP1G1_-_71842491.23-P1P2	AP1G1	308.51	26.308	253.68	6448.6	4192	5150.3
TECR_+_14640490.23-P1P2|TECR_-_14640440.23-P1P2	TECR	428.74	688.79	405.24	5450	8365.6	6849.2
MCM5_-_35796550.23-P1P2|MCM5_-_35796201.23-P1P2	MCM5	1.8641	0.79721	139.74	588.12	170.63	366.1
RRM2_+_10262870.23-P1P2|RRM2_+_10262952.23-P1P2	RRM2	0	1.5944	3.2247	336.66	564.93	119.15
ATRIP_-_48488199.23-P1P2|ATRIP_-_48488160.23-P1P2	ATRIP	221.83	0	0	232.76	671	2.8827
KIAA0100_+_26972106.23-P1P2|KIAA0100_+_26971983.23-P1P2	KIAA0100	817.41	1187.8	709.44	9750.8	10783	3022.9
SCN1B_-_35521391.23-P1P2|SCN1B_-_35521422.23-P1P2	SCN1B	2403.8	1888.6	1837	15654	15370	16314
NPRL3_-_188187.23-P1P2|NPRL3_+_188635.23-P1P2	NPRL3	867.74	528.55	252.6	7460.6	7778.7	6140
AUTS2_+_69063482.23-P1P2|AUTS2_+_69063642.23-P1P2	AUTS2	0.93205	1.5944	0	690.99	245.57	171.04
RRS1_+_67341292.23-P1P2|RRS1_+_67341681.23-P1P2	RRS1	0	0.79721	0	224.44	273.24	172.96
EIF5B_-_99953906.23-P1P2|EIF5B_-_99953921.23-P1P2	EIF5B	178.95	534.93	351.49	6058.9	5866.1	4399.9
TRAF3IP1_+_239229559.23-P1P2|TRAF3IP1_-_239229206.23-P1P2	TRAF3IP1	66.176	0	2.1498	116.38	411.59	376.67
AP1M1_+_16308778.23-P1P2|AP1M1_-_16308748.23-P1P2	AP1M1	139.81	1200.6	269.8	4860.8	6426.4	5035
DOCK6_-_11372730.23-P1P2|DOCK6_+_11372682.23-P1P2	DOCK6	584.4	485.5	898.62	7568.7	7842.2	5349.2
CAMLG_+_134074264.23-P1P2|CAMLG_+_134074249.23-P1P2	CAMLG	933.92	547.68	191.33	6448.6	7235.7	8516.3
HDAC3_+_141016415.23-P1P2|HDAC3_-_141016238.23-P1P2	HDAC3	191.07	1.5944	2.1498	434.34	317.05	361.29
C10orf76_-_103815932.23-P1P2|C10orf76_+_103815854.23-P1P2	C10orf76	731.66	1291.5	356.87	8424.9	8117.7	8891.1
FNTA_-_42911755.23-P1P2|FNTA_-_42911495.23-P1P2	FNTA	0	0.79721	264.43	211.97	314.75	190.25
LHFPL4_-_9595441.23-P1P2|LHFPL4_-_9595057.23-P1P2	LHFPL4	0	2.3916	10.749	549.68	1.1529	378.59
PIP4K2C_-_57985075.23-P1P2|PIP4K2C_+_57985384.23-P1P2	PIP4K2C	0	128.35	1.0749	114.3	247.88	320.94
GINS3_+_58426400.23-P1P2|GINS3_+_58426428.23-P1P2	GINS3	60.583	0	4.2996	783.47	327.43	512.15
S100A11_+_152009236.23-P1P2|S100A11_+_152009488.23-P1P2	S100A11	1138	1750.7	627.74	10969	10715	10639
RRAGA_+_19049430.23-P1P2|RRAGA_+_19049452.23-P1P2	RRAGA	173.36	1.5944	4.2996	240.03	538.41	510.23
